WINDENERGY,WINDPRICE,GridEnergy,HydroElectricityGen,SellWindEnergy
0.402287,35.37011,0,14.23557346,0
0.926723,33.78152,0,0.713437702,0
2.37246,31.96963,0,1.826438331,0
3.21351,30.84783,0,0,0
3.96222,31.01963,0,0.686973898,0
9.67085,32.44412,0,0,0
7.0715,33.87547,0,15.9,-8.88E-16
6.26325,33.37329,0,7.862842631,0
11.2827,30.21551,0,8.685986595,0
9.33242,26.2378,0,0,0
6.86164,24.85052,0,13.34109069,0
6.95792,23.96556,0,0,0
3.84195,23.02902,0,0,0
4.52825,24.04684,0,0,0
6.06725,26.63856,0,4.078288677,0
6.51192,31.42806,0,5.013201612,0
9.51155,36.956,0,7.322466768,-3.55E-15
12.1424,48.50823,0,15.9,0
6.71018,46.70106,0,1.570835864,0
6.47302,48.94276,0,15.9,8.88E-16
5.57562,41.46892,0,0,0
4.24291,38.62316,0,7.870796131,0
10.5362,36.53639,0,8.11129357,-7.11E-15
9.17639,33.90329,0,0,0
10.2418,34.5297,0,2.768548793,0
3.66968,33.59576,0,15.9,0
4.9356,32.7998,0,0,0
3.76292,32.04543,0,0,0
5.10245,33.62821,0,0,0
4.7114,35.25437,0,2.47974333,0
2.98079,41.61127,0,2.294761181,0
0.977456,47.04016,0,14.67836731,0
3.69385,36.62226,0,2.843710422,0
4.43676,34.08918,0,3.415639686,0
5.38536,32.63872,0,0,0
3.16042,31.91601,0,0,4.44E-16
3.92948,31.9289,0,0,0
4.50748,33.33974,0,0.598933508,0
1.19763,33.88489,0,0.921995456,-2.22E-16
0.0270598,37.17769,0,0.020831987,3.47E-18
0.0510837,41.47107,0,0.039326786,-6.94E-18
0.248892,58.16232,0,14.11748232,0
0.771956,55.92337,0,0.594290327,0
1.27681,46.27084,0,0.982952179,0
1.50066,40.89959,0,0,0
4.06103,39.74108,0,4.304268377,0
0.904624,37.38737,0,0.696424786,0
2.25242,34.64995,0,0,0
2.11081,33.83618,0,0,0
1.35296,33.22864,0,0,0
0.904332,31.84791,0,0,0
1.09523,31.77493,7.936767348,0,0
0.418659,33.20232,0,0,-5.55E-17
0.262942,38.30086,0,0.202425899,0
0.616809,45.00138,0,14.40072322,0
0.391155,44.89774,0,0.301130677,0
0.836672,37.91514,0,0.644111939,0
1.67851,34.81173,0,0,0
1.94245,32.68573,0,0,2.22E-16
0.399248,32.1343,0,0,5.55E-17
0.0820073,31.76781,11.64488336,0,0
0,34.21666,0,0,0
0,35.29615,0,0,0
0,37.34855,-7.59E-17,0,0
0,45.77711,-1.84E-14,0,0
0,68.07522,0,13.92587281,0
0,55.04093,3.43E-16,0,0
0.0506823,50.22404,0,0.039017769,0
0.352658,48.67594,0,0.271493761,5.55E-17
0.48934,42.55599,14.62257303,0,5.55E-17
0.317961,43.99598,0,14.17065508,0
0.668651,38.34703,0,0.514760972,-1.11E-16
0.736655,35.98457,0,0,0
0.439387,33.86293,0,0,0
0.367439,33.20815,0,0,0
0,32.55445,0,0,0
0.224605,34.6168,13.62503213,0,0
0.519485,39.59062,0,0.399925527,0
0.350795,50.78993,0,14.19593234,0
1.5126,45.16768,0,1.16447511,0
2.53128,35.42692,0,0.588056644,4.44E-16
2.33427,31.51707,0,0,0
3.75295,29.27701,0,0,0
2.78984,28.9168,0,0,0
1.6746,28.91164,0,0,0
1.16007,29.26233,0,0,0
1.14653,29.9233,0,0,0
1.75405,34.62978,0,0,0
0.35376,45.24447,0,0.272342136,0
0.519708,64.14739,0,14.32597001,0
0.235458,60.32918,0,0.181267341,0
0.288448,48.25964,0,0.222061693,0
0.748803,42.60125,0,0,0
0.945067,40.67732,13.55825314,0,0
0.28206,42.78044,0,14.1430167,0
0.82836,38.35328,0,0.637712946,1.11E-16
0.961035,29.54003,0,0,0
0.495574,28.59144,0,0,0
0.252234,28.57816,0,1.331947046,5.55E-17
0.0107833,28.56623,0,15.9,1.73E-18
